run_label,run_id,index,round,kind,mtime_iso_cst,elapsed_seconds_from_first_report,elapsed_minutes_from_first_report,score,pass_rate,valid,passed,failed,total_tests,summary
30min,mcmc-30min-p1-2-hardened9-gpt-codex-8080-20260606-233200,1,auto-1,auto,2026-06-06T23:36:31+08:00,0.000,0.000,0.0,0.0,False,0,6,6,"final=0.00/100 | raw=0.00 | penalty=0.34 | A=0.0 B=0.0 C=0.0 D=0.0 E=0.0 F=0.0 | failures=apparent_resistivity_log10_handling_missing,fatal_missing_required_outputs,hidden_cases_not_run_or_failed,no_hidden_generalization,no_real_1d_mt_forward_evidence,posterior_samples_missing_or_invalid"
30min,mcmc-30min-p1-2-hardened9-gpt-codex-8080-20260606-233200,2,auto-2,auto,2026-06-06T23:41:31+08:00,300.007,5.000,0.0,0.0,False,0,6,6,"final=0.00/100 | raw=0.00 | penalty=0.34 | A=0.0 B=0.0 C=0.0 D=0.0 E=0.0 F=0.0 | failures=apparent_resistivity_log10_handling_missing,fatal_missing_required_outputs,hidden_cases_not_run_or_failed,no_hidden_generalization,no_real_1d_mt_forward_evidence,posterior_samples_missing_or_invalid"
30min,mcmc-30min-p1-2-hardened9-gpt-codex-8080-20260606-233200,3,auto-3,auto,2026-06-06T23:49:10+08:00,759.004,12.650,10.625,0.3333333333333333,True,2,4,6,"final=10.62/100 | raw=42.50 | penalty=0.25 | A=8.0 B=12.0 C=10.0 D=7.0 E=2.5 F=3.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,public_fit_and_hidden_quality_failed,public_fit_not_noise_level,report_too_short_for_research_task"
30min,mcmc-30min-p1-2-hardened9-gpt-codex-8080-20260606-233200,4,agent-1,agent,2026-06-06T23:49:31+08:00,780.352,13.006,10.625,0.3333333333333333,True,2,4,6,"final=10.62/100 | raw=42.50 | penalty=0.25 | A=8.0 B=12.0 C=10.0 D=7.0 E=2.5 F=3.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,public_fit_and_hidden_quality_failed,public_fit_not_noise_level,report_too_short_for_research_task"
30min,mcmc-30min-p1-2-hardened9-gpt-codex-8080-20260606-233200,5,auto-4,auto,2026-06-06T23:56:10+08:00,1178.904,19.648,10.25,0.3333333333333333,True,2,4,6,"final=10.25/100 | raw=41.00 | penalty=0.25 | A=8.0 B=12.0 C=10.0 D=6.0 E=2.0 F=3.0 | failures=fast_pipeline_no_sampling,hidden_inference_chain_mismatch,hidden_laplace_vi_not_same_sampler,map_laplace_only,posterior_undercoverage_hidden,public_fit_and_hidden_quality_failed"
30min,mcmc-30min-p1-2-hardened9-gpt-codex-8080-20260606-233200,6,auto-5,auto,2026-06-07T00:01:23+08:00,1492.603,24.877,11.575,0.5,True,3,3,6,"final=11.57/100 | raw=46.30 | penalty=0.25 | A=8.0 B=12.0 C=10.0 D=7.0 E=2.5 F=6.8 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,public_fit_and_hidden_quality_failed,public_fit_not_noise_level,weak_hidden_lab_recovery"
30min,mcmc-30min-p1-2-hardened9-gpt-codex-8080-20260606-233200,7,auto-6,auto,2026-06-07T00:06:44+08:00,1813.823,30.230,10.575,0.5,True,3,3,6,"final=10.57/100 | raw=42.30 | penalty=0.25 | A=8.0 B=12.0 C=9.0 D=5.0 E=1.5 F=6.8 | failures=credible_interval_too_narrow_or_fixed,fast_pipeline_no_sampling,map_laplace_only,overconfident_weak_hidden_recovery,posterior_samples_repeated_or_too_short,posterior_undercoverage_hidden"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,1,auto-1,auto,2026-06-07T00:09:28+08:00,0.000,0.000,12.0,0.6666666666666666,True,4,2,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=12.0 C=10.0 D=10.0 E=3.0 F=5.0 | failures=credible_interval_too_wide_uninformative,fast_pipeline_no_sampling,map_laplace_only,public_fit_not_noise_level"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,2,auto-2,auto,2026-06-07T00:13:53+08:00,265.187,4.420,11.125,0.5,True,3,3,6,"final=11.12/100 | raw=44.50 | penalty=0.25 | A=8.0 B=12.0 C=10.0 D=7.0 E=2.5 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,public_fit_and_hidden_quality_failed,public_fit_not_noise_level,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,3,agent-1,agent,2026-06-07T00:15:41+08:00,373.448,6.224,11.125,0.5,True,3,3,6,"final=11.12/100 | raw=44.50 | penalty=0.25 | A=8.0 B=12.0 C=10.0 D=7.0 E=2.5 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_chain_order_untrustworthy,posterior_undercoverage_hidden,public_fit_and_hidden_quality_failed,public_fit_not_noise_level"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,4,auto-3,auto,2026-06-07T00:20:14+08:00,646.851,10.781,11.125,0.5,True,3,3,6,"final=11.12/100 | raw=44.50 | penalty=0.25 | A=8.0 B=12.0 C=10.0 D=7.0 E=2.5 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_chain_order_untrustworthy,posterior_undercoverage_hidden,public_fit_and_hidden_quality_failed,public_fit_not_noise_level"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,5,auto-4,auto,2026-06-07T00:25:34+08:00,966.654,16.111,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_chain_order_untrustworthy,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,6,auto-5,auto,2026-06-07T00:30:27+08:00,1259.797,20.997,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,7,auto-6,auto,2026-06-07T00:35:49+08:00,1581.508,26.358,11.25,0.5,True,3,3,6,"final=11.25/100 | raw=45.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=6.0 E=2.0 F=5.0 | failures=fast_pipeline_no_sampling,hidden_inference_chain_mismatch,hidden_laplace_vi_not_same_sampler,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,8,agent-2,agent,2026-06-07T00:38:54+08:00,1766.198,29.437,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,9,auto-7,auto,2026-06-07T00:40:28+08:00,1860.891,31.015,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,10,auto-8,auto,2026-06-07T00:46:14+08:00,2206.491,36.775,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,11,agent-3,agent,2026-06-07T00:50:05+08:00,2437.349,40.622,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,12,auto-9,auto,2026-06-07T00:50:59+08:00,2491.638,41.527,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,13,auto-10,auto,2026-06-07T00:56:37+08:00,2829.533,47.159,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,14,agent-4,agent,2026-06-07T01:00:23+08:00,3055.208,50.920,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,15,auto-11,auto,2026-06-07T01:01:00+08:00,3092.824,51.547,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,16,auto-12,auto,2026-06-07T01:07:58+08:00,3510.584,58.510,11.75,0.5,True,3,3,6,"final=11.75/100 | raw=47.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=7.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,hidden_cases_not_run_or_failed,map_laplace_only,no_hidden_generalization"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,17,auto-13,auto,2026-06-07T01:13:02+08:00,3814.520,63.575,11.75,0.5,True,3,3,6,"final=11.75/100 | raw=47.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=7.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,hidden_cases_not_run_or_failed,map_laplace_only,no_hidden_generalization"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,18,auto-14,auto,2026-06-07T01:18:03+08:00,4115.151,68.586,11.75,0.5,True,3,3,6,"final=11.75/100 | raw=47.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=7.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,hidden_cases_not_run_or_failed,map_laplace_only,no_hidden_generalization"
2h,mcmc-2h-p1-2-hardened9-gpt-codex-8080-20260607-000213,19,agent-5,agent,2026-06-07T01:22:46+08:00,4398.238,73.304,12.0,0.5,True,3,3,6,"final=12.00/100 | raw=48.00 | penalty=0.25 | A=8.0 B=14.0 C=10.0 D=8.0 E=3.0 F=5.0 | failures=fast_pipeline_no_sampling,map_laplace_only,posterior_undercoverage_hidden,weak_hidden_lab_recovery"
