Format:  EMData_2.1
UTM of x,y origin (UTM zone, N, E, 2D strike): 32 N    1083926.0     342358.0    -39
# MT Frequencies:    12
   0.0449219
     0.03125
   0.0214844
    0.015625
   0.0112305
   0.0078125
  0.00537109
   0.0039072
   0.0028083
   0.0019536
   0.0013431
 0.000976503
# MT Receivers:      40
!          X         Y        Z     Theta   Alpha    Beta SolveStatic Name
		0.00	  5767.00   3318.2   0.00    0.00     -2.4  0  s01
       83.88     25354.04   3267.9   0.00    0.00      0.2  0  s03 
     -159.20     35413.95   3291.6   0.00    0.00     -0.3  0  s04
       73.78     45362.69     3242   0.00    0.00      1.7  0  s05
       67.18     55311.72   3238.8   0.00    0.00     -0.8  0  s06
       32.52     65331.95     3161   0.00    0.00     -1.1  0  s07
      -21.88     75360.66   3169.5   0.00    0.00      0.5  0  s08
       34.63     85308.03   3124.8   0.00    0.00     -0.6  0  s09
      146.62     89620.58   3111.7   0.00    0.00     -0.6  0  s10
      -74.18     93323.93   3105.8   0.00    0.00     -0.3  0  s11
     -146.33     97372.85   3060.1   0.00    0.00     -2.1  0  s12
     -123.60    101357.04   2989.9   0.00    0.00        0  0  s13
     -165.80    105386.46   2995.9   0.00    0.00        0  0  s14
        9.96    109480.42   2928.4   0.00    0.00     -5.6  0  s15
     -157.79    113350.26   2919.9   0.00    0.00        0  0  s16
     -200.21    117364.06   2907.9   0.00    0.00      0.9  0  s17
     -194.59    121388.45   2885.5   0.00    0.00     -0.8  0  s18
     -207.06    125382.74   2854.9   0.00    0.00     -1.8  0  s19
     -137.73    129330.05   2853.4   0.00    0.00        1  0  s20
     -169.56    133349.84   2956.3   0.00    0.00      1.3  0  s21
     -245.03    137827.13   3186.9   0.00    0.00      0.9  0  s22
     -168.52    141328.59   3438.4   0.00    0.00       -1  0  s23
     -148.65    145373.53     3441   0.00    0.00     -0.1  0  s24
     -148.87    148882.34   3646.1   0.00    0.00     -0.9  0  s25
     -287.23    153403.93   3748.3   0.00    0.00      1.5  0  s26
     -277.46    161411.62   4010.6   0.00    0.00      1.7  0  s28
     -201.19    189493.86   3750.8   0.00    0.00     -1.2  0  s35
       95.02    193502.64   3199.7   0.00    0.00     -1.9  0  s36
      -51.80    197476.93   2635.9   0.00    0.00     -3.2  0  s37
        2.43    201415.87   2097.1   0.00    0.00     -4.9  0  s38
       26.35    205357.28   1696.4   0.00    0.00     -5.2  0  s39
       74.33    213505.29   1100.1   0.00    0.00     -5.1  0  s41
       0.00     217538.00    808.8   0.00    0.00     -2.9  0  s42                             
       0.00     221516.00    567.6   0.00    0.00     -3.6  0  s43                             
       0.00     225514.00    396.5   0.00    0.00     -1.5  0  s44                             
       0.00     235442.00    155.2   0.00    0.00     -0.4  0  s45                             
       0.00     245553.00      169   0.00    0.00      0.3  0  s46                             
       0.00     255458.00      173   0.00    0.00     -0.1  0  s47                             
       0.00     265536.00    134.7   0.00    0.00     -0.2  0  s48                             
       0.00     275508.00    106.8   0.00    0.00     -0.1  0  s49 
# Data:       1588
!         Type        Freq#        Tx#           Rx#           Data 	      Std_Error
         103            2            0            1          8.24887         0.825447 
         104            2            0            1           14.887             2.85 
         105            2            0            1            14.53          1.45399 
         106            2            0            1          14.1542             2.85 
         103            3            0            1          11.4857          1.14935 
         104            3            0            1          15.9554             2.85 
         105            3            0            1          22.3817          2.23969 
         106            3            0            1          14.6606             2.85 
         103            4            0            1          13.8339          1.38433 
         104            4            0            1          22.4304             2.85 
         105            4            0            1          27.6094          2.76281 
         106            4            0            1          22.0567             2.85 
         103            5            0            1          18.1189          1.81312 
         104            5            0            1          25.4985             2.85 
         105            5            0            1          37.2663          3.72916 
         106            5            0            1          25.7179             2.85 
         103            6            0            1          18.4913          1.85038 
         104            6            0            1          29.2588             2.85 
         105            6            0            1          40.0929          4.01201 
         106            6            0            1          33.7712             2.85 
         103            7            0            1          22.1864          2.22014 
         104            7            0            1          35.8687             2.85 
         105            7            0            1          41.8727          4.19011 
         106            7            0            1          41.8262             2.85 
         103            8            0            1          31.2367          3.12579 
         104            8            0            1          35.9837             2.85 
         105            8            0            1          37.2095          3.72348 
         106            8            0            1          45.3419             2.85 
         103            9            0            1           25.946          2.59636 
         104            9            0            1          43.1253             2.85 
         105            9            0            1          36.1569          3.61814 
         106            9            0            1          49.3687             2.85 
         103           10            0            1           21.426          2.14405 
         104           10            0            1          45.7613             2.85 
         105           10            0            1          28.1613          2.81804 
         106           10            0            1          52.8596             2.85 
         103           11            0            1          20.6801          2.06941 
         104           11            0            1          52.5595             2.85 
         105           11            0            1          28.2997          2.83189 
         106           11            0            1          54.2418             2.85 
         103           12            0            1          21.3687          2.13832 
         104           12            0            1          50.9949             2.85 
         105           12            0            1           23.648           2.3664 
         106           12            0            1          55.7257             2.85 
         103            2            0            2          7.40189         0.740691 
         104            2            0            2          10.1523             2.85 
         105            2            0            2          6.57093         0.657539 
         106            2            0            2          11.7846             2.85 
         103            3            0            2          9.82857         0.983524 
         104            3            0            2          15.6496             2.85 
         105            3            0            2          9.54632          0.95528 
         106            3            0            2            14.71             2.85 
         103            4            0            2          11.9919              1.2 
         104            4            0            2          19.1531             2.85 
         105            4            0            2          12.2024          1.22106 
         106            4            0            2          17.3031             2.85 
         103            5            0            2          13.1759          1.31848 
         104            5            0            2          26.1329             2.85 
         105            5            0            2          15.7933           1.5804 
         106            5            0            2          22.8678             2.85 
         103            6            0            2          14.8068          1.48168 
         104            6            0            2           31.385             2.85 
         105            6            0            2          18.7002          1.87129 
         106            6            0            2          27.4424             2.85 
         103            7            0            2          16.8027          1.68141 
         104            7            0            2          33.5244             2.85 
         105            7            0            2          21.5764           2.1591 
         106            7            0            2          33.0871             2.85 
         103            8            0            2          19.7855          1.97989 
         104            8            0            2          34.9919             2.85 
         105            8            0            2          22.0438          2.20587 
         106            8            0            2          39.8826             2.85 
         103            9            0            2          21.2107           2.1225 
         104            9            0            2          38.4804             2.85 
         105            9            0            2          21.6084          2.16231 
         106            9            0            2          44.6327             2.85 
         103           10            0            2          20.5643          2.05782 
         104           10            0            2          43.9469             2.85 
         105           10            0            2          20.9203          2.09345 
         106           10            0            2          47.9449             2.85 
         103           11            0            2          21.3198          2.13343 
         104           11            0            2          43.0386             2.85 
         105           11            0            2          18.8321          1.88448 
         106           11            0            2          52.7961             2.85 
         103           12            0            2          21.5452          2.15598 
         104           12            0            2          44.9826             2.85 
         105           12            0            2          17.9489          1.79611 
         106           12            0            2          53.9707             2.85 
         103            2            0            3          4.65117         0.465433 
         104            2            0            3          10.2556             2.85 
         105            2            0            3          6.07794         0.608206 
         106            2            0            3          8.95463             2.85 
         103            3            0            3          6.33553         0.633983 
         104            3            0            3          14.4968             2.85 
         105            3            0            3          8.57854         0.858436 
         106            3            0            3          12.3853             2.85 
         103            4            0            3          7.98197         0.798738 
         104            4            0            3           17.836             2.85 
         105            4            0            3          11.2447          1.12523 
