# Depth-dependent upper bound on log10(rho_max) [log10(ohm-m)]
# Equivalent to the dry-olivine resistivity at 1300 C MPT.
# Mirrors the prescription in Blatter et al. 2022, Methods, ref. 17.
#
# Temperature model:
#   half-space cooling, MPT = 1300 deg C,
#   plate age = 22 Myr, kappa = 1e-6 m^2/s
#   ( T(z) = MPT * erf( z / (2*sqrt(kappa*t)) ),  adiabat 0.3 C/km below TBL )
#
# Resistivity model:
#   log10(rho_dry_olivine) = -1.96 + 6620 / T_K
#   (Arrhenius fit to Blatter et al. 2022 Extended Data Fig. 9a, dry mantle)
#
# log10(rho_max) is capped at 5 in the cold lithosphere so this
# prior is never LOOSER than the default scalar [-1, 5] bound.
#
# depth_km        log10_rho_max
     0.000       5.00000
     0.500       5.00000
     1.000       5.00000
     1.500       5.00000
     2.000       5.00000
     2.500       5.00000
     3.000       5.00000
     3.500       5.00000
     4.000       5.00000
     4.500       5.00000
     5.000       5.00000
     5.500       5.00000
     6.000       5.00000
     6.500       5.00000
     7.000       5.00000
     7.500       5.00000
     8.000       5.00000
     8.500       5.00000
     9.000       5.00000
     9.500       5.00000
    10.000       5.00000
    11.000       5.00000
    12.000       5.00000
    13.000       5.00000
    14.000       5.00000
    15.000       5.00000
    16.000       5.00000
    17.000       5.00000
    18.000       5.00000
    19.000       5.00000
    20.000       5.00000
    21.000       5.00000
    22.000       5.00000
    23.000       5.00000
    24.000       5.00000
    25.000       5.00000
    26.000       5.00000
    27.000       4.90846
    28.000       4.76063
    29.000       4.62181
    30.000       4.49130
    32.000       4.25284
    34.000       4.04102
    36.000       3.85232
    38.000       3.68381
    40.000       3.53305
    42.000       3.39793
    44.000       3.27668
    46.000       3.16776
    48.000       3.06985
    50.000       2.98179
    52.000       2.90257
    54.000       2.83131
    56.000       2.76721
    58.000       2.70959
    60.000       2.65780
    62.000       2.61131
    64.000       2.56959
    66.000       2.53221
    68.000       2.49875
    70.000       2.46883
    72.000       2.44213
    74.000       2.41834
    76.000       2.39716
    78.000       2.37836
    80.000       2.36169
    85.000       2.32800
    90.000       2.30352
    95.000       2.28598
   100.000       2.24484
   105.000       2.24084
   110.000       2.23684
   115.000       2.23285
   120.000       2.22887
   125.000       2.22490
   130.000       2.22094
   135.000       2.21698
   140.000       2.21303
   145.000       2.20909
   150.000       2.20515
   155.000       2.20123
   160.000       2.19731
